pair_key,layout,p0,p1,n_episodes,horizon,mean_reward,stderr_reward,mean_deliveries,stderr_deliveries,delivery_rate
asymmetric_advantages::bc_lstm+bc_lstm,asymmetric_advantages,bc_lstm,bc_lstm,50,400,12.0,3.0983866769659336,0.6,0.15491933384829665,0.34
asymmetric_advantages::bc_lstm+bc_mlp,asymmetric_advantages,bc_lstm,bc_mlp,50,400,17.6,2.631501472543764,0.88,0.1315750736271882,0.6
asymmetric_advantages::bc_lstm+ppo,asymmetric_advantages,bc_lstm,ppo,50,400,120.8,6.787282224867329,6.04,0.3393641112433664,0.94
asymmetric_advantages::bc_lstm+random,asymmetric_advantages,bc_lstm,random,50,400,4.0,1.131370849898476,0.2,0.0565685424949238,0.2
asymmetric_advantages::bc_mlp+bc_lstm,asymmetric_advantages,bc_mlp,bc_lstm,50,400,22.4,2.974020847270577,1.12,0.14870104236352885,0.68
asymmetric_advantages::bc_mlp+bc_mlp,asymmetric_advantages,bc_mlp,bc_mlp,50,400,28.8,3.1066380542316154,1.44,0.1553319027115808,0.8
asymmetric_advantages::bc_mlp+ppo,asymmetric_advantages,bc_mlp,ppo,50,400,136.0,5.571355310873647,6.8,0.27856776554368234,1.0
asymmetric_advantages::bc_mlp+random,asymmetric_advantages,bc_mlp,random,50,400,19.6,2.365755693219399,0.98,0.11828778466096995,0.66
asymmetric_advantages::ppo+bc_lstm,asymmetric_advantages,ppo,bc_lstm,50,400,149.6,5.775534607289614,7.48,0.2887767303644807,1.0
asymmetric_advantages::ppo+bc_mlp,asymmetric_advantages,ppo,bc_mlp,50,400,144.0,6.144916598294886,7.2,0.3072458299147443,1.0
asymmetric_advantages::ppo+ppo,asymmetric_advantages,ppo,ppo,50,400,168.8,2.4106430677310984,8.44,0.1205321533865549,1.0
asymmetric_advantages::ppo+random,asymmetric_advantages,ppo,random,50,400,152.8,3.826643437792447,7.64,0.19133217188962234,1.0
asymmetric_advantages::random+bc_lstm,asymmetric_advantages,random,bc_lstm,50,400,7.2,1.4707821048680187,0.36,0.07353910524340095,0.34
asymmetric_advantages::random+bc_mlp,asymmetric_advantages,random,bc_mlp,50,400,9.6,1.719534820816374,0.48,0.0859767410408187,0.42
asymmetric_advantages::random+ppo,asymmetric_advantages,random,ppo,50,400,95.6,3.8900899732525467,4.78,0.19450449866262734,0.98
asymmetric_advantages::random+random,asymmetric_advantages,random,random,50,400,0.0,0.0,0.0,0.0,0.0
coordination_ring::bc_lstm+bc_lstm,coordination_ring,bc_lstm,bc_lstm,50,400,2.4,0.9191300234460846,0.12,0.04595650117230423,0.12
coordination_ring::bc_lstm+bc_mlp,coordination_ring,bc_lstm,bc_mlp,50,400,6.0,1.296148139681572,0.3,0.0648074069840786,0.3
coordination_ring::bc_lstm+ppo,coordination_ring,bc_lstm,ppo,50,400,60.8,4.231689969740222,3.04,0.21158449848701108,0.94
